,72703,72711,72712,72713,KFVE0
2005-12-10,0,0,0,0,1.149999976158142
2005-12-11,0,0,0,0,0
2005-12-12,0,1.340000033378601,0.6499999761581421,0.8199999928474426,0
2005-12-13,0,0,0,0,0
2005-12-14,0,0,0,0,0
2005-12-15,0,0,0,0,0
2005-12-16,5.269999980926514,28.239999771118164,6.170000076293945,6.25,13.550000190734863
2005-12-17,0,0,5.46999979019165,6.71999979019165,0
2005-12-18,0,0,0,0,0
2005-12-19,0,0,0,0,0
2005-12-20,0,0,0,0,0
2005-12-21,0,0,0,0,0
2005-12-22,0,0,1.8700000047683716,0,1.0199999809265137
2005-12-23,5.309999942779541,7.050000190734863,2.5399999618530273,0,1.9299999475479126
2005-12-24,3.119999885559082,4.940000057220459,3.940000057220459,6.710000038146973,0.9399999976158142
2005-12-25,11.770000457763672,34.59000015258789,18.450000762939453,16.93000030517578,22.239999771118164
2005-12-26,34.41999816894531,32.79999923706055,40.25,40.310001373291016,36.5099983215332
2005-12-27,0,0,10.239999771118164,12.770000457763672,4.690000057220459
2005-12-28,0,0,0,0,2.759999990463257
2005-12-29,25.3700008392334,17,13.579999923706055,11.6899995803833,14.109999656677246
2005-12-30,14.800000190734863,5.739999771118164,17.239999771118164,18.989999771118164,9.449999809265137
2005-12-31,0,0,0,0,0
2006-01-01,0,2.130000114440918,0,0,1.559999942779541
2006-01-02,0.47999998927116394,0,0.9399999976158142,0.75,1.0700000524520874
2006-01-03,0,0,0,0,0
2006-01-04,0,0,0,0,0
2006-01-05,3.140000104904175,7.510000228881836,2.549999952316284,2.440000057220459,2.740000009536743
2006-01-06,2.009999990463257,3.700000047683716,1.850000023841858,1.9700000286102295,1.7599999904632568
2006-01-07,0,0,0.7900000214576721,0.7300000190734863,0
2006-01-08,1.7100000381469727,0,0,0,0
2006-01-09,7.71999979019165,6.210000038146973,5.03000020980835,4.75,5.070000171661377
2006-01-10,0,0,0,0,0
2006-01-11,4.389999866485596,12.8100004196167,7.059999942779541,5.900000095367432,7.139999866485596
2006-01-12,12.220000267028809,2.6500000953674316,8.15999984741211,9.670000076293945,5.860000133514404
2006-01-13,0,2.640000104904175,0,0,0
2006-01-14,37.939998626708984,28.489999771118164,28.770000457763672,25.09000015258789,38.599998474121094
2006-01-15,15.819999694824219,0,11.260000228881836,14.300000190734863,6.28000020980835
2006-01-16,3.119999885559082,1.9700000286102295,2.880000114440918,2.549999952316284,2.5799999237060547
2006-01-17,0,4.28000020980835,0,0,1.8300000429153442
2006-01-18,14.729999542236328,17.5,13.880000114440918,12.300000190734863,15.739999771118164
2006-01-19,6.670000076293945,0,4.179999828338623,5.71999979019165,2.369999885559082
2006-01-20,3.359999895095825,1.6799999475479126,1.7899999618530273,1.2999999523162842,2.3399999141693115
2006-01-21,3.0199999809265137,9.260000228881836,9.65999984741211,7,13.029999732971191
2006-01-22,0,0,0,0,0
2006-01-23,3.4000000953674316,2.640000104904175,2.9100000858306885,2.619999885559082,3.0199999809265137
2006-01-24,1.309999942779541,0,1.159999966621399,1.25,0.8700000047683716
2006-01-25,0,2.630000114440918,0,0,0.5
2006-01-26,0,0,0,0,0
2006-01-27,0,0,0,0,0
2006-01-28,0,0,0,0,0
2006-01-29,0,2.9800000190734863,0,0,0
2006-01-30,0,4.070000171661377,0,0,0
2006-01-31,0,3.6700000762939453,1.149999976158142,1.3200000524520874,1.6299999952316284
2006-02-01,0,0,0,0,0
2006-02-02,0,0,0,0,0
2006-02-03,10.65999984741211,10.34000015258789,7.579999923706055,6.920000076293945,9.279999732971191
2006-02-04,5.78000020980835,10.600000381469727,0,0,5.639999866485596
2006-02-05,16.59000015258789,12.930000305175781,16.170000076293945,16.889999389648438,16.770000457763672
2006-02-06,1.559999942779541,3.180000066757202,2.559999942779541,2.950000047683716,2.7200000286102295
2006-02-07,0,0,0,0,0
2006-02-08,0,0,0,0,0
2006-02-09,0,0,0,0,0
2006-02-10,0,0,0,0,0
2006-02-11,0,0,0,0,0
2006-02-12,0,0,0.8100000023841858,0,0
2006-02-13,0,0,0.6600000262260437,0.8299999833106995,0
2006-02-14,0,0,0.4099999964237213,0,0.5899999737739563
2006-02-15,0,0,1.6200000047683716,0,0
2006-02-16,0,4.730000019073486,4.46999979019165,3.950000047683716,4.820000171661377
2006-02-17,13.149999618530273,11.279999732971191,20.09000015258789,18.719999313354492,14.369999885559082
2006-02-18,0,0,0,0,0
2006-02-19,0,0,0,0,0
2006-02-20,0,0,0,0,0
2006-02-21,0,0,0,0,1.2100000381469727
2006-02-22,0,0,0,0,0
2006-02-23,3.75,3.240000009536743,2.990000009536743,2.6700000762939453,2.9100000858306885
2006-02-24,3.2100000381469727,0,1.0299999713897705,1.4700000286102295,0
2006-02-25,0,0,0,0,0
2006-02-26,0,0,0,0,0
2006-02-27,0,0,1.659999966621399,0,2.2200000286102295
2006-02-28,0,2.4700000286102295,0.8500000238418579,0,1.600000023841858
2006-03-01,0,4.090000152587891,0,0,0
2006-03-02,1.1399999856948853,0,0,0.8399999737739563,0
2006-03-03,0,3.869999885559082,1.1100000143051147,0,2.6600000858306885
2006-03-04,0,0,0,0,0
2006-03-05,0,0,0,0,0
2006-03-06,0,0,0,0,0
2006-03-07,0,0,0,0,0
2006-03-08,0,0,0,0,0
2006-03-09,2.2899999618530273,3.109999895095825,0,0,2.7799999713897705
2006-03-10,4.269999980926514,1.809999942779541,3,3.0199999809265137,3.509999990463257
2006-03-11,0,0,0,0,0
2006-03-12,1.7100000381469727,3.0799999237060547,1.7899999618530273,1.5,2.809999942779541
2006-03-13,0,3.009999990463257,0,0,0
2006-03-14,15.180000305175781,10.09000015258789,14.989999771118164,14.210000038146973,17.040000915527344
2006-03-15,0,0,2.390000104904175,0,0.4399999976158142
2006-03-16,0,0,0,0,0
2006-03-17,0,0,0,0,0
2006-03-18,0,0,0,0,0
2006-03-19,0,0,0,0,0
2006-03-20,0,0,0,0,0
2006-03-21,0,0,0,0,0
2006-03-22,0,3.130000114440918,0,0,0
2006-03-23,0,0,0,0,0
2006-03-24,0,0,0,0,0
2006-03-25,0,0,0,0,0
2006-03-26,0,0,0,0,0
2006-03-27,0,0,0,0,0
