id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
72381,Edwards Air Force Base,US,CA,72381,KEDW,34.9167,-117.9,702.0,America/Los_Angeles,1941-12-01,2025-02-06,1941-12-21,2022-04-24,1942-01-01,2020-01-01
72382,Palmdale Prod Flight Plant,US,CA,72382,KPMD,34.6333,-118.0833,775.0,America/Los_Angeles,1973-01-01,2025-02-06,1934-01-02,2025-02-02,1934-01-01,2022-01-01
72383,Sandberg,US,CA,72383,KSDB,34.75,-118.7167,1379.0,America/Los_Angeles,1973-01-01,2025-02-06,1934-07-01,2025-02-02,1934-01-01,2022-01-01
72384,Bakersfield Meadows Field,US,CA,72384,KBFL,35.4333,-119.05,155.0,America/Los_Angeles,1941-10-01,2025-02-06,1937-10-01,2025-02-02,1937-01-01,2022-01-01
72389,Fresno Air Terminal,US,CA,72389,KFAT,36.7833,-119.7167,101.0,America/Los_Angeles,1941-12-04,2025-02-06,1941-12-04,2025-02-03,1942-01-01,2022-01-01
72390,Point Piedras Blanca,US,CA,72390,K87Q,35.65,-121.2833,17.0,America/Los_Angeles,1999-01-01,2005-04-07,1998-01-07,2005-05-27,1998-01-01,2005-01-01
72391,"Nawcwpns Point Mugu, Ca",US,CA,72391,KNTD,34.1167,-119.1167,4.0,America/Los_Angeles,1973-01-01,2025-02-06,1946-03-01,2025-02-01,1946-01-01,2022-01-01
72392,Santa Barbara / La Patera,US,CA,72392,KSBA,34.4262,-119.8415,4.0,America/Los_Angeles,1973-01-01,2025-02-06,1941-01-02,2025-02-02,1941-01-01,2022-01-01
72393,"Lompoc, Vandenberg Air Force Base",US,CA,72393,KVBG,34.7167,-120.5667,112.0,America/Los_Angeles,2006-01-01,2025-02-06,1951-10-01,2022-04-25,1951-01-01,2021-01-01
72394,Santa Maria Public Airport,US,CA,72394,KSMX,34.9,-120.4667,79.0,America/Los_Angeles,1973-01-01,2025-02-06,1948-01-01,2025-02-02,1948-01-01,2022-01-01
72480,Bishop Airport,US,CA,72480,KBIH,37.3667,-118.3667,1256.0,America/Los_Angeles,1943-01-16,2025-02-06,1895-01-04,2025-02-02,1895-01-01,2022-01-01
72481,Merced / Castle Air Force Base,US,CA,72481,KMER,37.3667,-120.5667,57.0,America/Los_Angeles,1942-01-01,2025-02-05,1942-01-20,2022-04-25,1942-01-01,2022-01-01
72482,Leisure Town,US,CA,72482,KVCB,38.36,-121.94,34.0,America/Los_Angeles,2006-01-01,2025-02-06,2006-01-04,2022-04-24,2008-01-01,2021-01-01
