station,count,obs_mean,pred_mean,bias,mae,rmse,r2,rel_bias,rel_rmse,nse,corr,pbias
KCMA0,20,153.13500000000002,375.68282058816453,222.54782058816448,224.89627976580445,266.603291421014,-1.7392269986699787,1.4532786142172884,1.740969023547941,-1.7392269986699787,0.6329863644425385,145.32786142172884
74509,39,350.9794871794871,555.9321243247383,204.95263714525103,204.95263714525103,230.8387508862372,-2.007788586845483,0.583944773503075,0.6576986955599168,-2.007788586845483,0.8323797752136927,58.394477350307504
KSJC0,20,160.7,528.511686831527,367.81168683152686,367.81168683152686,426.6195335680669,-6.415411932939302,2.288809501129601,2.654757520647585,-6.415411932939302,0.24111854482186038,228.88095011296008
KOKB0,19,136.00526315789475,319.33739203381816,183.3321288759234,185.9929672697401,219.66778513159963,-2.042613666804265,1.3479781930430494,1.6151417969507345,-2.042613666804265,0.5590840165437497,134.79781930430497
KNRS0,17,87.55882352941177,304.4706925502164,216.91186902080466,216.91186902080466,242.79267451099432,-4.317915155616538,2.477327358652119,2.7729092822888166,-4.317915155616538,0.4754426071079154,247.73273586521194
KMCE0,19,168.6578947368421,441.2928687350777,272.63497399823564,272.63497399823564,306.3125725085917,-5.699101492498079,1.616496959265557,1.8161769005034303,-5.699101492498079,0.5456052033915577,161.6496959265557
KVNY0,20,189.405,372.99595719557306,183.590957195573,185.38672710160327,224.30566753194847,-0.6495941837389574,0.9693036466596605,1.1842647635064991,-0.6495941837389574,0.7507189216787268,96.93036466596605
72389,45,276.91333333333336,473.0366116895518,196.12327835621844,196.15574762534186,218.41316991394078,-4.315054364273866,0.7082478694521213,0.7887419767217448,-4.315054364273866,0.9181623056835786,70.82478694521214
72394,45,332.93555555555554,430.2221945061526,97.28663895059707,97.69097719479429,116.11118753919688,0.3483191744400679,0.29220861913729507,0.34874973730410685,0.3483191744400679,0.9378871373432741,29.2208619137295
72286,13,189.94615384615386,429.2533899121451,239.3072360659912,239.3072360659912,261.2488773610826,-9.492725475992263,1.259868816611139,1.375383876278327,-9.492725475992263,0.9226775595759714,125.98688166111388
72585,26,385.3923076923077,466.00948660138897,80.6171789090813,91.49987375723072,123.07137858202692,-0.02060057126232051,0.20918211728669225,0.31934051647000056,-0.02060057126232051,0.7849899074682195,20.918211728669224
KRAL0,17,118.5764705882353,451.1419987830283,332.5655281947931,332.5655281947931,353.981071267537,-6.995448139736853,2.8046502526597297,2.9852555866396115,-6.995448139736853,0.7275169389177584,280.465025265973
